global_tent_id,imdb_id
100390764,tt9783444
100431412,tt27165187
100456369,tt32393988
100488569,tt39316472
100488729,tt29549490
100488741,tt34966140
100365006,tt10627334
100383304,tt15441160
100418927,tt31186391
100485196,tt32268156
100487341,tt39444813
100490208,tt37172278
100490210,tt41022199
100490255,tt41090249
100490267,tt41355670
100490286,tt40233113
100490309,tt41512007
100490320,tt40356933
100490451,tt34906817
100490490,tt37577523
100490590,tt39229727
100490637,tt41568958
100490646,tt37253311
100490681,tt42027958
100490759,tt34611082
100490761,tt41559880
100490777,tt13518550
100490824,tt41772400
100490828,tt37521549
100490862,tt40859434
100490985,tt41059410
100491031,tt36201830
100491039,tt33312051
100491048,tt30343126
100488610,tt38337374
100488612,tt33253070
100488613,tt35668813
100488696,tt36956554
100488890,tt32332915
100488891,tt28014327
100490559,tt38681821
